   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.8836e+03,7.1411e-01,5.3398e-02
1.9498e+03,7.1531e-01,5.3214e-02
2.0184e+03,7.1652e-01,5.3032e-02
2.0893e+03,7.1771e-01,5.2852e-02
2.1627e+03,7.1891e-01,5.2674e-02
2.2387e+03,7.2010e-01,5.2498e-02
2.3174e+03,7.2128e-01,5.2324e-02
2.3988e+03,7.2246e-01,5.2152e-02
2.4831e+03,7.2364e-01,5.1983e-02
2.5704e+03,7.2481e-01,5.1815e-02
2.6607e+03,7.2598e-01,5.1649e-02
2.7542e+03,7.2714e-01,5.1485e-02
2.8510e+03,7.2830e-01,5.1323e-02
2.9512e+03,7.2946e-01,5.1163e-02
3.0549e+03,7.3061e-01,5.1005e-02
3.1623e+03,7.3176e-01,5.0848e-02
3.2734e+03,7.3291e-01,5.0694e-02
3.3884e+03,7.3405e-01,5.0541e-02
3.5075e+03,7.3519e-01,5.0390e-02
3.6308e+03,7.3632e-01,5.0241e-02
3.7584e+03,7.3745e-01,5.0093e-02
3.8905e+03,7.3858e-01,4.9947e-02
4.0272e+03,7.3970e-01,4.9803e-02
4.1687e+03,7.4082e-01,4.9661e-02
4.3152e+03,7.4194e-01,4.9520e-02
4.4668e+03,7.4305e-01,4.9380e-02
4.6238e+03,7.4416e-01,4.9242e-02
4.7863e+03,7.4526e-01,4.9106e-02
4.9545e+03,7.4637e-01,4.8971e-02
5.1286e+03,7.4747e-01,4.8838e-02
5.3088e+03,7.4856e-01,4.8706e-02
5.4954e+03,7.4966e-01,4.8576e-02
5.6885e+03,7.5075e-01,4.8447e-02
5.8884e+03,7.5183e-01,4.8320e-02
6.0954e+03,7.5292e-01,4.8193e-02
6.3096e+03,7.5400e-01,4.8069e-02
6.5313e+03,7.5508e-01,4.7945e-02
6.7608e+03,7.5615e-01,4.7823e-02
6.9984e+03,7.5722e-01,4.7702e-02
7.2444e+03,7.5829e-01,4.7582e-02
7.4989e+03,7.5936e-01,4.7464e-02
7.7625e+03,7.6042e-01,4.7347e-02
8.0353e+03,7.6148e-01,4.7231e-02
8.3176e+03,7.6254e-01,4.7116e-02
8.6099e+03,7.6360e-01,4.7002e-02
8.9125e+03,7.6465e-01,4.6889e-02
9.2257e+03,7.6570e-01,4.6778e-02
9.5499e+03,7.6675e-01,4.6667e-02
9.8855e+03,7.6779e-01,4.6558e-02
1.0233e+04,7.6883e-01,4.6449e-02
1.0593e+04,7.6987e-01,4.6342e-02
1.0965e+04,7.7091e-01,4.6235e-02
1.1350e+04,7.7194e-01,4.6130e-02
1.1749e+04,7.7297e-01,4.6025e-02
1.2162e+04,7.7400e-01,4.5921e-02
1.2589e+04,7.7503e-01,4.5818e-02
1.3032e+04,7.7606e-01,4.5716e-02
1.3490e+04,7.7708e-01,4.5615e-02
1.3964e+04,7.7810e-01,4.5515e-02
1.4454e+04,7.7911e-01,4.5415e-02
1.4962e+04,7.8013e-01,4.5317e-02
1.5488e+04,7.8114e-01,4.5218e-02
1.6032e+04,7.8215e-01,4.5121e-02
1.6596e+04,7.8316e-01,4.5025e-02
1.7179e+04,7.8417e-01,4.4929e-02
1.7783e+04,7.8517e-01,4.4833e-02
1.8408e+04,7.8617e-01,4.4739e-02
1.9055e+04,7.8717e-01,4.4645e-02
1.9724e+04,7.8817e-01,4.4551e-02
2.0417e+04,7.8916e-01,4.4459e-02
2.1135e+04,7.9015e-01,4.4366e-02
2.1878e+04,7.9114e-01,4.4275e-02
2.2646e+04,7.9213e-01,4.4183e-02
2.3442e+04,7.9312e-01,4.4093e-02
2.4266e+04,7.9410e-01,4.4003e-02
2.5119e+04,7.9508e-01,4.3913e-02
2.6002e+04,7.9606e-01,4.3824e-02
2.6915e+04,7.9704e-01,4.3735e-02
2.7861e+04,7.9802e-01,4.3646e-02
2.8840e+04,7.9899e-01,4.3558e-02
2.9854e+04,7.9996e-01,4.3470e-02
3.0903e+04,8.0093e-01,4.3383e-02
3.1989e+04,8.0190e-01,4.3296e-02
3.3113e+04,8.0286e-01,4.3209e-02
3.4277e+04,8.0383e-01,4.3123e-02
3.5481e+04,8.0479e-01,4.3037e-02
3.6728e+04,8.0575e-01,4.2951e-02
3.8019e+04,8.0671e-01,4.2865e-02
3.9355e+04,8.0766e-01,4.2780e-02
4.0738e+04,8.0862e-01,4.2695e-02
4.2170e+04,8.0957e-01,4.2610e-02
4.3652e+04,8.1052e-01,4.2525e-02
